,source,destination,weight
0,user,user-db,1
1,carts,carts-db,1
2,catalogue,catalogue-db,1
3,orders,orders-db,1
4,unknown,front-end,1
5,orders,payment,1
6,orders,shipping,1
7,front-end,user,1
8,orders,carts,1
9,front-end,carts,1
10,front-end,catalogue,1
11,front-end,orders,1
12,orders,user,1
13,orders,kubernetes-minion-group-7k49,1
14,rabbitmq,kubernetes-minion-group-5rnc,1
15,shipping,kubernetes-minion-group-5rnc,1
16,user-db,kubernetes-minion-group-7k49,1
17,catalogue,kubernetes-minion-group-6fdx,1
18,front-end,kubernetes-minion-group-3sk9,1
19,orders-db,kubernetes-minion-group-6fdx,1
20,user,kubernetes-minion-group-6fdx,1
21,catalogue-db,kubernetes-minion-group-6fdx,1
22,queue-master,kubernetes-minion-group-7k49,1
23,carts,kubernetes-minion-group-7k49,1
24,carts-db,kubernetes-minion-group-5rnc,1
25,payment,kubernetes-minion-group-6fdx,1
