,source,destination,weight
0,carts,carts-db,1
1,catalogue,catalogue-db,1
2,orders,orders-db,1
3,user,user-db,1
4,orders,carts,1
5,front-end,orders,1
6,orders,payment,1
7,orders,shipping,1
8,front-end,user,1
9,orders,user,1
10,front-end,carts,1
11,front-end,catalogue,1
12,unknown,front-end,1
13,user,kubernetes-minion-group-5rnc,1
14,carts,kubernetes-minion-group-7k49,1
15,front-end,kubernetes-minion-group-3sk9,1
16,orders,kubernetes-minion-group-7k49,1
17,user-db,kubernetes-minion-group-5rnc,1
18,carts-db,kubernetes-minion-group-5rnc,1
19,catalogue,kubernetes-minion-group-6fdx,1
20,catalogue-db,kubernetes-minion-group-6fdx,1
21,orders-db,kubernetes-minion-group-6fdx,1
22,queue-master,kubernetes-minion-group-3sk9,1
23,rabbitmq,kubernetes-minion-group-3sk9,1
24,payment,kubernetes-minion-group-6fdx,1
25,shipping,kubernetes-minion-group-3sk9,1
