,source,destination,weight
0,catalogue,catalogue-db,1
1,orders,orders-db,1
2,user,user-db,1
3,carts,carts-db,1
4,front-end,carts,1
5,front-end,catalogue,1
6,orders,shipping,1
7,orders,carts,1
8,front-end,orders,1
9,orders,payment,1
10,front-end,user,1
11,orders,user,1
12,unknown,front-end,1
13,carts,kubernetes-minion-group-7k49,1
14,carts-db,kubernetes-minion-group-5rnc,1
15,queue-master,kubernetes-minion-group-3sk9,1
16,payment,kubernetes-minion-group-6fdx,1
17,user-db,kubernetes-minion-group-5rnc,1
18,catalogue,kubernetes-minion-group-6fdx,1
19,rabbitmq,kubernetes-minion-group-3sk9,1
20,shipping,kubernetes-minion-group-3sk9,1
21,user,kubernetes-minion-group-5rnc,1
22,catalogue-db,kubernetes-minion-group-6fdx,1
23,front-end,kubernetes-minion-group-3sk9,1
24,orders,kubernetes-minion-group-7k49,1
25,orders-db,kubernetes-minion-group-6fdx,1
