,source,destination,weight
0,catalogue,catalogue-db,1
1,orders,orders-db,1
2,user,user-db,1
3,carts,carts-db,1
4,orders,carts,1
5,front-end,carts,1
6,unknown,front-end,1
7,front-end,orders,1
8,orders,payment,1
9,orders,shipping,1
10,front-end,user,1
11,front-end,catalogue,1
12,orders,user,1
13,carts,kubernetes-minion-group-7k49,1
14,catalogue,kubernetes-minion-group-6fdx,1
15,orders-db,kubernetes-minion-group-6fdx,1
16,payment,kubernetes-minion-group-6fdx,1
17,queue-master,kubernetes-minion-group-7k49,1
18,front-end,kubernetes-minion-group-3sk9,1
19,shipping,kubernetes-minion-group-5rnc,1
20,carts-db,kubernetes-minion-group-5rnc,1
21,orders,kubernetes-minion-group-7k49,1
22,catalogue-db,kubernetes-minion-group-6fdx,1
23,rabbitmq,kubernetes-minion-group-5rnc,1
24,user,kubernetes-minion-group-6fdx,1
25,user-db,kubernetes-minion-group-7k49,1
